Date,Open,High,Low,Close,Adj Close,Volume
2020-08-03,34.240002,35.040001,33.779999,34.349998,33.484055,24030700
2020-08-04,33.880001,34.599998,33.009998,33.299999,32.460522,20774400
2020-08-05,33.810001,33.970001,32.900002,33.330002,32.489773,14184600
2020-08-06,33.759998,34.430000,33.139999,34.349998,33.484055,18267300
2020-08-07,34.000000,34.939999,33.599998,34.110001,33.250103,18561800
2020-08-10,34.119999,34.599998,33.750000,34.430000,33.562035,9726000
2020-08-11,34.599998,34.889999,33.900002,33.930000,33.074642,14045800
2020-08-12,34.000000,34.419998,33.200001,33.750000,32.899178,18029600
2020-08-13,33.889999,34.400002,33.049999,33.070000,32.236320,15011800
2020-08-14,33.099998,33.500000,32.790001,33.180000,32.343552,10808700
2020-08-17,33.169998,33.349998,31.889999,32.330002,31.514978,21951800
2020-08-18,32.900002,32.970001,32.400002,32.770000,31.943886,14524500
2020-08-19,32.849998,32.970001,32.520000,32.619999,31.797665,10398700
2020-08-20,32.099998,32.730000,31.900000,32.650002,31.826912,22908300
2020-08-21,32.500000,33.080002,32.330002,32.950001,32.119350,11677400
2020-08-24,32.889999,34.000000,32.799999,33.450001,33.050072,19409300
2020-08-25,33.779999,33.950001,33.049999,33.250000,32.852467,11829700
2020-08-26,33.139999,33.439999,32.060001,32.450001,32.062031,16625400
2020-08-27,32.509998,33.439999,32.360001,32.750000,32.358440,15937400
2020-08-28,33.020000,33.509998,32.980000,33.389999,32.990788,11382300
2020-08-31,33.389999,33.389999,32.650002,32.650002,32.259640,13968600
2020-09-01,33.150002,33.590000,32.919998,33.209999,32.812943,12354600
2020-09-02,33.250000,33.369999,32.740002,33.250000,32.852467,9844600
2020-09-03,33.189999,34.790001,33.110001,33.770000,33.366249,29833900
2020-09-04,34.099998,34.369999,33.330002,33.950001,33.544098,20865000
2020-09-08,33.540001,33.689999,33.070000,33.259998,32.862347,13460400
2020-09-09,33.580002,33.720001,32.959999,33.220001,32.822826,12591200
2020-09-10,33.139999,33.490002,32.439999,32.529999,32.141071,13387400
2020-09-11,32.580002,32.689999,31.719999,32.000000,31.617409,14710600
2020-09-14,32.220001,32.590000,31.700001,32.360001,32.076210,11011900
2020-09-15,32.599998,32.599998,31.870001,31.990000,31.709455,11585100
2020-09-16,32.090000,32.619999,32.009998,32.090000,31.808578,13814800
2020-09-17,31.809999,32.290001,31.700001,32.150002,31.868055,10209500
2020-09-18,31.950001,32.020000,31.150000,31.340000,31.065157,15967500
2020-09-21,30.709999,31.129999,30.410000,30.879999,30.609190,13418000
2020-09-22,30.850000,31.680000,30.680000,30.820000,30.549717,10734300
2020-09-23,30.850000,30.940001,30.070000,30.180000,29.915329,12768300
2020-09-24,30.180000,30.900000,29.910000,30.420000,30.153225,15943300
2020-09-25,30.240000,30.480000,29.969999,30.299999,30.034277,9350100
2020-09-28,30.700001,31.770000,30.120001,30.510000,30.242435,30583200
2020-09-29,30.459999,30.680000,29.750000,29.760000,29.499012,18462900
2020-09-30,29.990000,30.110001,29.469999,29.620001,29.360241,14197000
2020-10-01,29.820000,29.900000,29.160000,29.790001,29.528749,12008700
2020-10-02,29.410000,30.740000,29.309999,29.709999,29.449450,16976600
2020-10-05,29.900000,30.379999,29.340000,30.230000,29.964891,12546800
2020-10-06,30.510000,30.799999,29.879999,30.030001,29.766645,10742500
2020-10-07,30.200001,30.440001,29.730000,29.809999,29.548573,12409900
2020-10-08,29.910000,31.490000,29.650000,31.250000,30.975946,18198100
2020-10-09,31.110001,31.670000,30.629999,31.040001,30.767788,13876600
2020-10-13,31.080000,31.430000,30.680000,31.049999,30.777699,10799300
2020-10-14,31.110001,31.530001,30.850000,30.850000,30.579454,10373800
2020-10-15,30.450001,31.440001,30.219999,31.059999,30.787611,12754200
2020-10-16,30.910000,31.020000,30.250000,30.270000,30.004541,12381800
2020-10-19,30.420000,31.170000,30.309999,30.600000,30.331648,15590100
2020-10-20,30.920000,32.040001,30.920000,32.009998,31.729279,21592700
2020-10-21,31.940001,32.470001,31.799999,32.250000,31.967175,16204800
2020-10-22,32.110001,33.680000,32.049999,33.650002,33.354900,30028100
2020-10-23,33.669998,34.290001,33.490002,33.560001,33.265690,16106700
2020-10-26,33.340000,33.830002,32.860001,33.500000,33.206211,14370500
2020-10-27,33.790001,34.099998,32.540001,32.779999,32.492527,15328900
2020-10-28,31.950001,32.040001,31.100000,31.139999,30.866909,15388500
2020-10-29,31.120001,31.299999,30.040001,30.959999,30.688488,19448700
2020-10-30,30.690001,30.870001,29.610001,29.799999,29.538660,21981900
2020-11-03,30.420000,30.760000,29.900000,30.100000,29.836031,17154400
2020-11-04,30.410000,30.850000,30.070000,30.320000,30.054100,13726100
2020-11-05,30.650000,31.129999,30.440001,30.690001,30.420856,18692500
2020-11-06,30.500000,30.660000,30.180000,30.400000,30.133400,9435500
2020-11-09,32.130001,32.959999,32.000000,32.700001,32.413227,33781000
2020-11-10,32.770000,34.820000,32.730000,34.369999,34.068584,42044300
2020-11-11,34.330002,34.770000,33.360001,34.160000,33.860424,27125800
2020-11-12,33.990002,34.130001,32.380001,32.730000,32.442963,24995400
2020-11-13,32.990002,33.169998,32.400002,33.009998,32.720509,12286500
2020-11-16,33.560001,34.250000,33.450001,33.900002,33.602711,23210900
2020-11-17,33.619999,34.410000,33.400002,34.200001,34.095974,18689500
2020-11-18,34.070000,34.650002,33.779999,34.279999,34.175732,20020100
2020-11-19,34.200001,35.099998,33.990002,34.619999,34.514694,21003100
2020-11-23,34.560001,35.070000,34.310001,34.520000,34.415001,17514500
2020-11-24,34.740002,36.060001,34.740002,35.439999,35.332203,22541800
2020-11-25,35.400002,35.630001,34.650002,35.340000,35.232506,13708100
2020-11-26,35.070000,35.189999,34.410000,34.779999,34.674210,9168500
2020-11-27,34.889999,35.310001,34.619999,34.740002,34.634335,7078400
2020-11-30,34.500000,34.580002,33.750000,33.860001,33.757008,19409500
2020-12-01,34.529999,35.369999,34.340000,34.790001,34.684181,19383800
2020-12-02,34.790001,35.330002,34.549999,34.939999,34.833721,12292600
2020-12-03,34.990002,35.880001,34.880001,35.240002,35.132813,21574900
2020-12-04,35.599998,35.869999,35.220001,35.669998,35.561501,10496700
2020-12-07,35.810001,37.270000,35.610001,36.150002,36.040043,23995800
